timestamp,actual
2016-08-02,4.5077060702209035
2016-08-03,4.507836878719696
2016-08-04,4.493133014644737
2016-08-05,4.484265760677338
2016-08-06,
2016-08-07,
2016-08-08,4.4739365020519735
2016-08-09,4.4719585693554516
2016-08-10,4.491826085709928
2016-08-11,4.544580637172499
2016-08-12,4.547060120989745
2016-08-13,
2016-08-14,
2016-08-15,4.541043639134027
2016-08-16,4.538709533324095
2016-08-17,4.558687465756281
2016-08-18,4.552063558746285
2016-08-19,4.541459940358096
2016-08-20,
2016-08-21,
2016-08-22,4.546597629160639
2016-08-23,4.553563767091113
2016-08-24,4.533812722803686
2016-08-25,4.577597609235146
2016-08-26,4.5600057567556735
2016-08-27,
2016-08-28,
2016-08-29,4.418794326567997
2016-08-30,4.558344331129446
2016-08-31,4.562291253683454
2016-09-01,4.560897072424766
2016-09-02,4.535273104530364
2016-09-03,
2016-09-04,
2016-09-05,4.483461590288317
2016-09-06,4.59430559107577
2016-09-07,4.600512041936521
2016-09-08,4.588534559697882
2016-09-09,4.59549263468844
2016-09-10,
2016-09-11,
2016-09-12,4.611542636211915
2016-09-13,4.669250446188254
2016-09-14,4.649271408959762
2016-09-15,4.613174839452525
2016-09-16,4.571047092762336
2016-09-17,
2016-09-18,
2016-09-19,4.608859871203646
2016-09-20,4.619950594880475
2016-09-21,4.631064110095924
2016-09-22,4.61925431599656
2016-09-23,4.596963701265644
2016-09-24,
2016-09-25,
2016-09-26,4.613428098195981
2016-09-27,4.638584489772918
2016-09-28,4.635613981056708
2016-09-29,4.6428748332331855
2016-09-30,4.60192114000226
2016-10-01,
2016-10-02,
2016-10-03,4.63924155512779
2016-10-04,4.63693076172203
2016-10-05,4.623264578296555
2016-10-06,4.597384279951134
2016-10-07,4.626679736375976
2016-10-08,
2016-10-09,
2016-10-10,4.622994405901753
2016-10-11,4.662036291872076
2016-10-12,4.686674078053399
2016-10-13,4.692879820537389
2016-10-14,4.67203708767401
2016-10-15,
2016-10-16,
2016-10-17,4.671229569071741
2016-10-18,4.6789968427797115
2016-10-19,4.683402826352299
2016-10-20,4.705328650938591
2016-10-21,4.697337532825929
2016-10-22,
2016-10-23,
2016-10-24,4.689233706761753
2016-10-25,4.700433707862686
2016-10-26,4.710919343266915
2016-10-27,4.721515165157611
2016-10-28,4.6953841309771915
2016-10-29,
2016-10-30,
2016-10-31,4.687763628957452
2016-11-01,4.688186587317536
